Store Name,Store Link,Name,Phone,Email,Link
ticktock1-2-3,https://www.ebay.com/usr/ticktock1-2-3?_trksid=p4429486.m3561.l2559,,,,https://www.ebay.com/itm/335016592887?hash=item4e008b85f7:g:mbUAAOSwnWRjCScd&amdata=enc%3AAQAIAAAAwJc%2FhNe70ANmTml72R4uwMjoHbvGhdAEmCgR0TFk6fDwwssnH6FeNDy4UAJAj0o8up4vxa3w%2BEM3YhQ3mGNnq0tfyBrpTBR9g0p84q%2FFlqTQd4F3FvsRjPr94JTm6npSmdoYjuvM7PPKh9mj6dW2sxHk7u%2BP0SMguRZIzjc2MLLpMp3Bma%2Ft6iKiL6dEWe9ESUWB0vt%2FN%2BM2%2FqgaAINEED9OcuA1kS%2B%2BlBVNxZUwjjZPHI%2B8FMqATuZbA%2BOSgZgi3Q%3D%3D%7Ctkp%3ABk9SR8iJx7nkYg
comput_24,https://www.ebay.com/usr/comput_24?_trksid=p4429486.m3561.l2559,Computer Bitz,, computer-bitz@outlook.com,https://www.ebay.com/itm/364230250863?hash=item54cdd0916f:g:iDIAAOSwlHRjmIu4&amdata=enc%3AAQAIAAAA4Fg%2BZ6eGQE3kCW94nvABbzHZg69YIj9btlTTbuysxCG%2Fofm7rg2aTVkr7feQ4A5FhKemEV0jyzGmqb80HU5Z1XkKpYAfXuVuyOQ3WESWxzDBcEyaefZUVVwwl8tG5GqepT0dgW50EHG3HqVAXe9nuIk5kJ%2BkX%2Bm9E48mFdexaKJBRkzUMVh3lFIJGseDd%2FE%2FnJfUWgw00OtVKx0jTN2PD3ffwfJ1YFe%2BOkEFa%2F%2FHXV%2BZ0Q0QM7HrPcg2fU%2FzmRUelUQBIX7VdprZ4FjGEPdcy416hjj6A9s1heF8oB3AL48o%7Ctkp%3ABk9SR8iJx7nkYg
birmingham-av,https://www.ebay.com/usr/birmingham-av?_trksid=p4429486.m3561.l2559,BIRMINGHAM AV LTD,, birminghamav@gmail.com,https://www.ebay.com/itm/115777670869?hash=item1af4e30ed5:g:onIAAOSw17hk3WLf&amdata=enc%3AAQAIAAAA4OhEtH0wQHRmsIfO4B0dVz90sKKE5xslpJyxfprEYbArrJ1CyQY8X56fQqsobB1bNhHTQfS38vEuMA4JmRSaEX40TKKpmsXWE22Y3Ut8ZOQjRNWSSTQ2SugQwO22%2B1%2FLcfT5EGcQ2A0ydD4eMBJ%2B5vLfdroTSxRO8bKE1DEJgj1ajLQXE283hXZD4LTMFNJeBcGbYjOKEYdOiCkDdCUaa9TVyYkHkQfFiAgJBGYeF5H7q8r9syqbKyspYl%2BiiCOlMwOHWbtJH2pUmytLDX%2BdECIsZoOz4F7RWkx1uprPUgVs%7Ctkp%3ABk9SR8iJx7nkYg
mobstars,https://www.ebay.com/usr/mobstars?_trksid=p4429486.m3561.l2559,Mobstars Limited, 07754758393, sales@mobstars.co.uk,https://www.ebay.com/itm/175828116101?hash=item28f02c2285:g:PZwAAOSwcrdkujJE&amdata=enc%3AAQAIAAAA4EdEdvGAzsBuYnmh3G9d6ZWRvGF6DhieEfSktsWKI5k6UTgYN6D%2B6g0IQ3ClUAYtinQ3rC088PX4YfM54qssDKW2I0EZQjMB9W91ltRVzW5YUnFmYMkAFrYmGW4bAP%2FdaFJHqwaDclQe3T9XVvI8oEJAL7ZxWvyOA11S5odJ4SeGcNXn%2FuKSbgfvtW4mJmYM5CYdmJIZiglkuBiBvAgGcCIz%2BZJfaZKN5Q9FO0vRM4pmpo5XCn3pvfCVN3WDhzEQuRpb6KenTjA3WzdX407TdzI4WHooQxzqSdIcs83jv5HL%7Ctkp%3ABFBMyInHueRi
birmingham-av,https://www.ebay.com/usr/birmingham-av?_trksid=p4429486.m3561.l2559,BIRMINGHAM AV LTD,, birminghamav@gmail.com,https://www.ebay.com/itm/115890323278?hash=item1afb99ff4e:g:5IsAAOSwaVJk3WIk&amdata=enc%3AAQAIAAAA4BWct1GKdTP0p5f577bFx2MqhDk7imPiMiCWs7mA3fV9%2FHPWq%2BCrOFTT%2FGvGJcfUvbBGTW5irX7BDV5O3R60vz1VA6mNOCHQiZcKedAjKdAVGypY%2Fh5yI28Jh8%2BXIxTzWMw5WUAL4Ng9wuVRganNV3PZIO4a3sMQP%2FxIwEXdxXgnhNvPfrMu2lDU%2Bk37xqUusGUpLgHyqgMmf5m2eGbKE5QjRy8eedaHS5a6IK8O1z9d2Z45TQP1PDyeOinrODrjv%2FftVkE%2FiGpGZhHUbV0niGGDs2IeCKLRiiOLpo1c%2BXfU%7Ctkp%3ABFBMyInHueRi
recycly.tech,https://www.ebay.com/usr/recycly.tech?_trksid=p4429486.m3561.l2559,Recycly Tech Ltd, 7442220999, recyclytech@outlook.com,https://www.ebay.com/itm/175799205481?hash=item28ee72fe69:g:cMYAAOSwwFFkKC31&amdata=enc%3AAQAIAAAA4MKLFv0pOyXRa2QweCddduFCHrvXCPyVZ%2F6uiL36cU%2Fv1Q6r%2F7yPsrCzBwsRs85c%2FtwatSdjyLhR%2FbmC03%2FkYx3OeqE9qI8omgfpkJ9xWD9KNORMCa0lgIu9W5lrkGOaYef9LPSd9Kihx0FgZigxYwLP1JNeO%2FwuHyt9ctFDKzLer%2Bi0nCIB5e9EQC6nJJAZJr986nODgG8Y8uUTuBeQCAdp15VhoKudHVHZTcwKgNCG5QwMLnhfOhYgfxxJSJsu458zl1uWPagZ6a6padhxWITpKOAfhbeU8Owse3oyJjqN%7Ctkp%3ABFBMyInHueRi
ri-services,https://www.ebay.com/usr/ri-services?_trksid=p4429486.m3561.l2559,Resolve IT Services LTD, 01278588410, sales@riservices.co.uk,https://www.ebay.com/itm/186021136907?hash=item2b4fb94a0b:g:yGIAAOSwTkpkkZ9R&amdata=enc%3AAQAIAAAA4GDD34xXKGnAda2tRg6OPXQhu%2Bujz2MahxbwahhrLaz4dIlyq0UVv300jEdDY0Jee7hF60Xij3YnGLAlP2E%2BjgNUQIuKQpsSgqIyO9UCoJxOJPWPypf%2BwN0WJOpANXe3zdJf6DMET7JotHAxBmM2l3tO3oHai7opWyeKV9Odymo5hHM9kcx9p5WheXlrxlZPzjJwgT2k3pUIize9gNbue4L1qB6428E760MUuSdgOp6e5VOibL%2FCXKwULvniWAkiMYVrIBY5RM0hOSZ56%2BcExVIbEXsUgpz3%2Bht6FSqvB1%2FE%7Ctkp%3ABFBMyInHueRi
cellularstore,https://www.ebay.com/usr/cellularstore?_trksid=p4429486.m3561.l2559,,,,https://www.ebay.com/itm/266416989736?hash=item3e07b0a628:g:dUUAAOSwPydlCKsF&amdata=enc%3AAQAIAAAA4G5hCaivv8CVIKlrftIjBlywPpUgPahxa%2BuRanDeUX3%2FLxOdit8nOu9rL9RJVwI5GuBNCyrYoCE7sTjhYM%2FLdexVAXrGh99J5dwY9SplQKs6%2F1bqiGrhkVywu%2FbqwBGpQFPMFts9%2ByR16on4rMG%2F4wFg1BbtNtNvgdvaL3SkmxM7eA5KbDcyCcTGkrauxpYiwedfm95tsqcl7gFtn8BReCXsE0jj6%2BzQpsZU8f6gL%2BMgLTHLDIRSHg9Mz65HW9VELU1SGXDpxbTh4r0arciRpugWzQ2wVaXN1wmKFZtrrjDv%7Ctkp%3ABFBMzInHueRi
comptek-tech,https://www.ebay.com/usr/comptek-tech?_trksid=p4429486.m3561.l2559,Computek Technologies Limited,,,https://www.ebay.com/itm/225794121281?hash=item349260de41:g:eAgAAOSwemZkynVV&amdata=enc%3AAQAIAAAA4PBlVHNUikXQhD0pMM%2BKxOJe6xZg0JNHweO0dbHZ3z5FxBLL3Pl5IBJLgcKRhAze3mSsp6htgqgb0k59jB8y%2FY8cDcLhqm8lTvTvubqzJBu1xM6EJd6x5fyAzf%2BZ9WpnLIHw3yyN6ckQN3VEEzhvce%2FoqDhTEiI8797N3m9uOdLHI6aTY%2BZ9KB40ob5dmjXpXY7nme55Yrwc5yvmW3OGXFdGlkK5%2BTY%2F%2B%2BTgaxgaesPMfJQMlM6TU3RoskN6Vt5cjkcSMGgk8kvJGrKiwnyHmiWmEb30xkVcRVdvsDcROnt7%7Ctkp%3ABFBMyonHueRi
birmingham-av,https://www.ebay.com/usr/birmingham-av?_trksid=p4429486.m3561.l2559,BIRMINGHAM AV LTD,, birminghamav@gmail.com,https://www.ebay.com/itm/115731111009?hash=item1af21c9c61:g:pwUAAOSwN~tkzMbN&amdata=enc%3AAQAIAAAA4Ds3hXwI3QPAF%2FYe9AfvnFZnqVksPVM3FOlVmUvuztvMh6MfGnbltR1c%2Bqff7QFvl%2FhCYiHxid2m%2B%2FUyiWWAxYY%2Basvfsl56LQICK7hWUSwFhmyt%2FWHCAUW7gac9Sq%2BDbItn%2Fwpiu%2FcUmZN9UMgxFR%2B3IK%2BqFOTdX7WiurIG9R537RP6WmTcIHL30CYnxJb23Cal%2FtDvOi0DjoCCp%2BK56gLzrz1YLdSCfuVzPu87vVfJjMkGxiUKksyy9eqWW0t39UGK0uuE3%2BldC3m5cKXQH%2BoJkdt9Cd%2FIjRnPBagkeUC3%7Ctkp%3ABFBMyonHueRi
kzalta,https://www.ebay.com/usr/kzalta?_trksid=p4429486.m3561.l2559,,,,https://www.ebay.com/itm/335054290025?hash=item4e02cabc69:g:VhMAAOSwsnxk5ic~&amdata=enc%3AAQAIAAAA4CuoxhbTsbZueR2LbLwENqBowLvmb3wf1gxnPOybJzjFmzh460oB8pmB%2BhrB%2B1DxjxfPA2%2B7KS5sSlbyspLoXCcjPB14exPNnYbU3cD5DmzsHHSkDUcOod8VuCmr3ydd%2B8RyQlVdDJXXOVkQ0B%2F796tba4aS1%2FDC3d4Ff%2BsVEO1G%2Bnc7woBFDWabneWnajQzCBmrpEmz6gB6sB0T66veTO%2BWnU7LlKKKWxsCp4uGMwFHortOBOpOwjNOXX5awp7a%2FrCLhKauM9R%2Fpt5Q8A0Zm2%2FZOB3ZPPDREpNoAvNtRL%2Bu%7Ctkp%3ABk9SR8qJx7nkYg
