Store Name,Store Link,Name,Phone,Email,Link
birmingham-av,https://www.ebay.com/usr/birmingham-av?_trksid=p4429486.m3561.l2559,BIRMINGHAM AV LTD,, birminghamav@gmail.com,https://www.ebay.com/itm/115777670869?hash=item1af4e30ed5:g:onIAAOSw17hk3WLf&amdata=enc%3AAQAIAAAA4OhEtH0wQHRmsIfO4B0dVz90sKKE5xslpJyxfprEYbArrJ1CyQY8X56fQqsobB1bNhHTQfS38vEuMA4JmRSaEX40TKKpmsXWE22Y3Ut8ZOQjRNWSSTQ2SugQwO22%2B1%2FLccjH6bez5ieiUpzN%2BtatZudpRRkhy9MDMLznaiIj1s%2B9qjfc0KIQTSdunNL0MimCOqqE%2BFsgtJcF2I9IpD8FsrXrZjCMd21IguKar6mmmNWwgtJWYfwJN%2FeAt5mYTcPoLrfF%2BXdWt6SQRw5zXdLaj2jroYccATqw3nXFOBZMkYmi%7Ctkp%3ABk9SR5Ccza_kYg
comput_24,https://www.ebay.com/usr/comput_24?_trksid=p4429486.m3561.l2559,Computer Bitz,, computer-bitz@outlook.com,https://www.ebay.com/itm/364230250863?hash=item54cdd0916f:g:iDIAAOSwlHRjmIu4&amdata=enc%3AAQAIAAAAwOsDCaaK3OjH2yYkzqF6E3nBR6rzf5vd2uK29HoOp6rbvKv5fwa8P52FhwEUpto6ZJdXduG8AaVGLgtG8T3QmcRrJklY1bEzSjHAosThoqnjf5Yx28aHbK29DVBOG1GqFDy59amjyIidUzh8z2JY1tezqTBi58O6hr68S1cm5rmagcSMRVZKcyIMFY8hIEMdyBLN4tqNLQMZm1PnqoS6uxj91ASzVkYCzey93wWsv7VI5koEP%2FGCpGiw0257qEgTGA%3D%3D%7Ctkp%3ABk9SR5Ccza_kYg
mobstars,https://www.ebay.com/usr/mobstars?_trksid=p4429486.m3561.l2559,Mobstars Limited, 07754758393, sales@mobstars.co.uk,https://www.ebay.com/itm/175828116101?hash=item28f02c2285:g:PZwAAOSwcrdkujJE&amdata=enc%3AAQAIAAAA4EdEdvGAzsBuYnmh3G9d6ZWRvGF6DhieEfSktsWKI5k6UTgYN6D%2B6g0IQ3ClUAYtinQ3rC088PX4YfM54qssDKW2I0EZQjMB9W91ltRVzW5YUnFmYMkAFrYmGW4bAP%2FdaFOiIdDdOyVwrsAQnBqxpYC9AwBvzoHiYSjPM5eLja8obK8NqVuFpMQLiJeOx%2FAB5esZB5aNLJ65Io8K9ASli2vCvExx9jyZNAYt%2Fp7GHn4IGcCfRg7%2BP%2FqLBKS6RCTNEc%2B5nTa67fSZ5JMwfdVS7ILcWX9JIHpF99WhRalAzqFp%7Ctkp%3ABFBMjpzNr-Ri
birmingham-av,https://www.ebay.com/usr/birmingham-av?_trksid=p4429486.m3561.l2559,BIRMINGHAM AV LTD,, birminghamav@gmail.com,https://www.ebay.com/itm/115890323278?hash=item1afb99ff4e:g:5IsAAOSwaVJk3WIk&amdata=enc%3AAQAIAAAA4BWct1GKdTP0p5f577bFx2MqhDk7imPiMiCWs7mA3fV9%2FHPWq%2BCrOFTT%2FGvGJcfUvbBGTW5irX7BDV5O3R60vz1VA6mNOCHQiZcKedAjKdAVGypY%2Fh5yI28Jh8%2BXIxTzWOGX92dMutbTTNJRTwyoA8YwsgeoZIxcx3mIR9ZMVFcjngsCHU9fowAXJQxhQ5C87bf%2FUU%2Fy6Oh%2BexCJKHUEq%2BDQqAd7xx%2FFhIPm08bXffJ9C6dL%2BuuqHiVhMk8ytpA07TSFvXiBNV4yX0Q176ZKpJjSHKjFUjDtRFXOBlHnuJha%7Ctkp%3ABFBMjpzNr-Ri
recycly.tech,https://www.ebay.com/usr/recycly.tech?_trksid=p4429486.m3561.l2559,Recycly Tech Ltd, 7442220999, recyclytech@outlook.com,https://www.ebay.com/itm/175799205481?hash=item28ee72fe69:g:cMYAAOSwwFFkKC31&amdata=enc%3AAQAIAAAA4MKLFv0pOyXRa2QweCddduFCHrvXCPyVZ%2F6uiL36cU%2Fv1Q6r%2F7yPsrCzBwsRs85c%2FtwatSdjyLhR%2FbmC03%2FkYx3OeqE9qI8omgfpkJ9xWD9KNORMCa0lgIu9W5lrkGOaYdngs8h4VGvsCINHjfEUFL85tU9M%2BhiDnVhdpx1PoITiafc9PohpFm9XAxy7GMVHdIwY45Iz9gqvzg82kW1AAP%2FGVuEDAQ49e59%2FTurAmaFs4gyGM%2BBur9MsN814Rmz32BpnrDSHy%2F%2Fr%2F%2B2CDHjop4QLXxtA9J4lkEXG6TsM87I5%7Ctkp%3ABFBMjpzNr-Ri
ri-services,https://www.ebay.com/usr/ri-services?_trksid=p4429486.m3561.l2559,Resolve IT Services LTD, 01278588410, sales@riservices.co.uk,https://www.ebay.com/itm/186021136907?hash=item2b4fb94a0b:g:yGIAAOSwTkpkkZ9R&amdata=enc%3AAQAIAAAA4GDD34xXKGnAda2tRg6OPXQhu%2Bujz2MahxbwahhrLaz4dIlyq0UVv300jEdDY0Jee7hF60Xij3YnGLAlP2E%2BjgNUQIuKQpsSgqIyO9UCoJxOJPWPypf%2BwN0WJOpANXe3zbUOuCR%2Fdf%2Feh7wSlmnxx0URFRYkLRKUHf%2Fkr27wl%2Bnb4XCfk5jIBhdmOHK%2Fedv0yijt0aKPKMMQAkKCZKXGLhKKBo%2FFzeLjNefhPDVZbKqB4Pu2Tp62KC%2B9Adgc49%2FsVTFL08oYOUf0YqygrBO5lKldixmjiD6rOENdDPT9%2FXDO%7Ctkp%3ABFBMjpzNr-Ri
birmingham-av,https://www.ebay.com/usr/birmingham-av?_trksid=p4429486.m3561.l2559,BIRMINGHAM AV LTD,, birminghamav@gmail.com,https://www.ebay.com/itm/115731111009?hash=item1af21c9c61:g:pwUAAOSwN~tkzMbN&amdata=enc%3AAQAIAAAA4Ds3hXwI3QPAF%2FYe9AfvnFZnqVksPVM3FOlVmUvuztvMh6MfGnbltR1c%2Bqff7QFvl%2FhCYiHxid2m%2B%2FUyiWWAxYY%2Basvfsl56LQICK7hWUSwFhmyt%2FWHCAUW7gac9Sq%2BDbCnQTlgjwoCqfjz22F4P89IGs7LYGXWtKTzvvbzhncc3jI7%2BNUBqq7Ug%2FWREJv9t6kdmqJRBGOdgNxkdUod2ScqGCf12b6l38fHMWBvzrYN9vn0xmIqHPr%2FH0WKCazfp1ip9tj3%2BF1mfxClbYtU7wgpCtjV%2Bh0L3S3EYlO0uCCUO%7Ctkp%3ABFBMkJzNr-Ri
birmingham-av,https://www.ebay.com/usr/birmingham-av?_trksid=p4429486.m3561.l2559,BIRMINGHAM AV LTD,, birminghamav@gmail.com,https://www.ebay.com/itm/115309812070?hash=item1ad9001966:g:vvgAAOSw6gxiPJc-&amdata=enc%3AAQAIAAAA4O%2F9dy8sV7Qskh5px1lPeXz3Gw2G2qeWTGMey7pwy5uvXlbHnvITAobqcNrFa20yI6U2MM8iGnoSBo%2FMkdrZ%2FwWRlzTtn30qTIYlE2hLtp3JJfgE5mKH8GtJ7y6vjYVy81Hf%2BZwCsUcvCvnli1IPQDx6rBLtr9zhdXZ%2BUeSTmzazffZQ6v4%2ByM0ttBX%2FWpP8QrcLBoFXfcqnSGhyw3rqVUV5VUxOxS21OrSoYFpF9goS2%2FHE3%2BxFM1N7oT6BlFU7OorND50DBqV%2FBDrJzqj4f8%2FsSyKDHGOgcDyVQIKP4hw5%7Ctkp%3ABFBMkpzNr-Ri
thenetstore2016,https://www.ebay.com/usr/thenetstore2016?_trksid=p4429486.m3561.l2559,The Net Store Limited,, info@thenetstore.co.uk,https://www.ebay.com/itm/155571348696?hash=item2438c664d8:g:-FsAAOSw26Nkbikj&amdata=enc%3AAQAIAAAA4OXWj4qfJ8TOBXO6OykMk%2FMQcmHrysVafNeFV4cSSSHmJUilccizISJxnVa1hlJtLEYpVo7LXTB7HjwMMY2P5Y98KnUAyTmgYfpTeJ5g81L05GN%2BabsixeFI1dHDj1jTaaN%2BCTGrXBn5n%2BpgRgh0Z53g1NaveKx71tGukO7vq%2BV68OhL5rIqtCORX%2Fpsc5Kf47tnlpXhRgc6GA83f8U7pE08VZKlP7CQiTTLyuy7nKLDNZj%2FPRB8kgRykARNsFlsdDvAqZtKsDFfBeC4QLelQYUr8rhwnZUThqC5FQ%2FqiP15%7Ctkp%3ABFBMkpzNr-Ri
computerhive,https://www.ebay.com/usr/computerhive?_trksid=p4429486.m3561.l2559,Revive IT Recycling Limited, 01133508175, info@computersinleeds.co.uk,https://www.ebay.com/itm/134764961771?hash=item1f609e1feb:g:-eQAAOSwYiRlJRh8&amdata=enc%3AAQAIAAAAwPYTPyZKOZfDbVRM5rU%2B5ySIc6i36FQLGk6xNM0EgR8vhkSH8MTb0Gtm1h%2FHgXvKw01d6k8dqmSZ3oLy3u4hKVL%2BB59%2F2DIHi3OCWT0%2FxeDCYnfTeosPoCIlVcvPDTVGjfGCKVgOhpYBYM2antyT%2B9gT%2Fs%2FbqJn4hUHStQoZXxXHDHaXRMXVkMbyLiKV9uBKd6oDsoJ3d7kV4SqemJXNNevyQuMI7XodkXSUXRbdPmBqJqxtQKlSuPwk7gAYesUHtQ%3D%3D%7Ctkp%3ABk9SR5Kcza_kYg
